id;date_planification;action;type;delai;avancement;realisee;critere_resultat;ressources_necessaires;statut;efficace
1;2021-04-02;b b;TRAITEMENT_RAPIDE;2021-04-02;intranet Hat Computer;true;Plastic Steel Provence;Languedoc-Roussillon XSS back-end;PLANIFIEE;EFFICACE
2;2021-04-02;bypass;AUTRES;2021-04-02;Managed;false;concept;HDD;REALISEE_A_EVALUER;EFFICACE
3;2021-04-02;programming;TRAITEMENT_RAPIDE;2021-04-02;Pizza;false;motivating User-centric info-mediaries;state Colon holistic;PLANIFIEE;A_EVALUER
4;2021-04-02;deposit salmon granular;PROJET_ENTITE;2021-04-02;c Denar Tunisia;false;synthesizing a transmitter;back-end;REALISEE_EFFICACE;A_EVALUER
5;2021-04-02;d'Abbeville Investment;PROGRAMME_SST;2021-04-02;e-markets de Pierre;false;mint auxiliary;Small;REALISEE_NON_EFFICACE;NON_EFFICACE
6;2021-04-02;ROI Practical;PROJET_ENTITE;2021-04-03;Personal bluetooth;true;Consultant;Borders integrated;REALISEE_A_EVALUER;EFFICACE
7;2021-04-03;c envisioneer 24/7;PROGRAMME_SST;2021-04-03;Lorraine;false;Ball a Account;c;REALISEE_A_EVALUER;NON_EFFICACE
8;2021-04-02;Towels Delesseux;PROGRAMME_SST;2021-04-02;Nord-Pas-de-Calais deposit;false;Computers indigo Mozambique;intangible Sausages;PLANIFIEE;NON_EFFICACE
9;2021-04-02;Switchable driver;ACTION_POUR_ATTEINDRE_OBJECTIF;2021-04-02;open Market;true;transmitter;copy Poitou-Charentes schemas;EN_COURS;EFFICACE
10;2021-04-02;compress;PROGRAMME_ENVIRONNEMENTAL;2021-04-02;a Health Handmade;false;Ball;ADP grow;EN_COURS;NON_EFFICACE
