id;date_audit;type_audit;auditeur;standard;i_d;statut;conclusion
1;2021-04-03;Interne;Outdoors;ISO45001;application hacking Licensed;PLANIFIE;Bedfordshire B2B Awesome
2;2021-04-03;Interne;Granite quantifying Ethiopia;ISO45001;de Haiti;Retard;regional
3;2021-04-02;Externe;reinvent program;ISO9001;Chair Sharable hack;Retard;deposit grow
4;2021-04-02;Interne;Borders British;ISO45001;quantify;REALISE;Clothing
5;2021-04-03;Externe;sky Table;ISO45001;Cambridgeshire;PLANIFIE;projection RSS
6;2021-04-02;Interne;Home focus solution-oriented;ISO9001;impactful;PLANIFIE;compelling Monsieur-le-Prince
7;2021-04-02;Interne;Borders application Account;ISO45001;wireless COM generating;PLANIFIE;Cotton Cotton
8;2021-04-02;Externe;Account port Dalasi;ISO9001;Guernsey Mali c;REALISE;Cambridgeshire
9;2021-04-03;Interne;c Card;ISO45001;e-enable white;PLANIFIE;driver deposit
10;2021-04-03;Externe;Gorgeous;ISO45001;Avon;REALISE;protocol
