id;date;intitule;code;version;type;piece_jointe;piece_jointe_content_type;en_application;appouve
1;2021-04-03;ADP copying;24/7;32816;ENREGISTREMENT;../fake-data/blob/hipster.png;image/png;true;true
2;2021-04-03;hacking b;Salvador Corse Chicken;94108;INSTRUCTION;../fake-data/blob/hipster.png;image/png;true;true
3;2021-04-02;hacking Intelligent hack;program fault-tolerant;16983;POLITIQUE;../fake-data/blob/hipster.png;image/png;true;true
4;2021-04-03;Distributed;AGP Technicien sensor;60340;MANUEL;../fake-data/blob/hipster.png;image/png;true;true
5;2021-04-02;Cheese;Steel Tools Computers;68413;AUTRES;../fake-data/blob/hipster.png;image/png;false;false
6;2021-04-03;Account;Borders turn-key SSL;59547;PROECDURE;../fake-data/blob/hipster.png;image/png;true;true
7;2021-04-03;bricks-and-clicks d'Assas bluetooth;up Health;56127;INSTRUCTION;../fake-data/blob/hipster.png;image/png;true;false
8;2021-04-02;Limousin c;Limousin Plastic;60518;INSTRUCTION;../fake-data/blob/hipster.png;image/png;false;true
9;2021-04-03;Buckinghamshire;a;17553;MANUEL;../fake-data/blob/hipster.png;image/png;false;false
10;2021-04-03;technologies visualize;Bike;7871;ENREGISTREMENT;../fake-data/blob/hipster.png;image/png;true;true
