id;date;description;causes_potentielles;origine
1;2021-04-02;Account generating;Handmade Pakistan maroon;Centralized Chips
2;2021-04-03;whiteboard;De-engineered Clothing Avon;niches
3;2021-04-02;human-resource;embrace Steel;streamline
4;2021-04-02;scalable;Table;Buckinghamshire Account
5;2021-04-02;b;alarm Rubber;index
6;2021-04-03;Rhône-Alpes Metal cross-platform;e-business interface IB;methodology innovate
7;2021-04-03;c Architecte;calculate;clicks-and-mortar program Rubber
8;2021-04-03;Midi-Pyrénées alarm;payment Charron Maldives;open-source
9;2021-04-02;Ball;withdrawal ivory connecting;withdrawal
10;2021-04-02;program;transmitter;PNG
