id;date;rubrique;reference;num;exigence;applicable;conforme;statut;observation;origine
1;2021-04-03;DISPOSITIONS_DIVERSES;Soft explicit Ingenieur;69274;bus Molière de;true;false;86665;withdrawal Zimbabwe Fish;generate
2;2021-04-03;CONFORMITE;connecting;7650;Jamahiriya synergies firewall;true;true;3289;actuating;encryption
3;2021-04-02;CHS;compress optical;23723;Dobra turquoise;false;true;14335;evolve Account B2B;Toys
4;2021-04-02;AT;seamless;75548;quantify Outdoors;false;false;28732;Guam Auvergne reintermediate;Technicien Avon Fantastic
5;2021-04-02;ECLAIRAGE_SECOURS;model;26890;magenta;false;true;36421;du multi-tasking;Home web-readiness Avon
6;2021-04-03;APPAREILS_LEVAGE;Object-based;16685;a input;true;false;94827;up Concrete well-modulated;Front-line workforce deposit
7;2021-04-02;CONVENTION119;c;3725;Bedfordshire Industrial;true;false;25042;Cross-platform next-generation;neural-net a Agent
8;2021-04-03;APPAREILS_LEVAGE;wireless override;77006;Cross-platform;true;false;38415;responsive;fuchsia
9;2021-04-02;AMBIANCES;plug-and-play Salvador indexing;21335;Fantastic out-of-the-box;false;false;53672;strategic facilitate;mindshare 4th pink
10;2021-04-03;INSTALLATIONS_ELECTRIQUES;withdrawal Assistant Ukraine;93581;indexing Tuna;true;true;33396;b;Stagiaire
