id;date;axe_politique_qse;objectif_qse;vigueur
1;2021-04-03;gold Kwacha b;Sausages;false
2;2021-04-03;RAM secondary;Operative Riel;false
3;2021-04-03;Shirt program;reboot Industrial;true
4;2021-04-02;blue Shirt;tan matrix;true
5;2021-04-03;Colombian content;cyan Cotton;true
6;2021-04-03;quantifying;b Advanced Soap;false
7;2021-04-02;Table;Computers Cotton;false
8;2021-04-02;Assimilated Account;Operative Refined Pakistan;true
9;2021-04-03;Cheese Provence-Alpes-Côte;b navigate Tuna;true
10;2021-04-02;Pizza Palladium Corse;Seychelles Champagne-Ardenne;true
