id;processus;date;version;finalite;fiche_processus;fiche_processus_content_type;type;vigueur
1;Soap d'Assas b;2021-04-02;89605;Chair Rubber Islands;../fake-data/blob/hipster.png;image/png;MANAGEMENT;true
2;Multi-tiered;2021-04-02;12933;USB Bacon e-markets;../fake-data/blob/hipster.png;image/png;MANAGEMENT;true
3;initiatives b e-tailers;2021-04-03;37743;generating Practical Tasty;../fake-data/blob/hipster.png;image/png;REALISATION;false
4;niches Market;2021-04-03;6112;Concrete;../fake-data/blob/hipster.png;image/png;SUPPORT;true
5;Tools;2021-04-02;98697;backing Robust e-services;../fake-data/blob/hipster.png;image/png;SUPPORT;true
6;digital Avon a;2021-04-03;33249;backing calculating c;../fake-data/blob/hipster.png;image/png;SUPPORT;false
7;bluetooth withdrawal Martinique;2021-04-03;12771;Intelligent;../fake-data/blob/hipster.png;image/png;MANAGEMENT;true
8;multi-state;2021-04-02;6703;attitude;../fake-data/blob/hipster.png;image/png;REALISATION;false
9;Tuna b deposit;2021-04-02;10738;driver overriding;../fake-data/blob/hipster.png;image/png;MANAGEMENT;true
10;Intuitive;2021-04-02;28550;analyzing;../fake-data/blob/hipster.png;image/png;REALISATION;false
