id;date_identification;description;cause_potentielle;effet_potentiel;type;gravite;probabilite;criticite;traitement;commentaire;origine
1;2021-04-03;Money Account gold;program;mobile CSS Car;MENACE;THREE;FOUR;59382;REFUSE;USB l'Odéon;Checking
2;2021-04-02;programming web-enabled de;hack b;Shirt Cotton;OPPORTUNITE;THREE;TWO;95863;REFUSE;Loan bluetooth;killer Adaptive
3;2021-04-02;Tasty models Garden;Awesome;Small;OPPORTUNITE;FOUR;FIVE;4561;A_TRANSFERER;convergence;synthesizing
4;2021-04-03;a;Virtual engineer;Market Administrateur;MENACE;FOUR;FOUR;73827;REFUSE;Automotive Granite a;program
5;2021-04-03;b Pizza override;programming;a Midi-Pyrénées green;OPPORTUNITE;TWO;ONE;65426;A_TRAITER;Charlemagne;methodical
6;2021-04-03;Car bandwidth c;compress overriding Bedfordshire;a;MENACE;ONE;THREE;85425;A_TRANSFERER;Pizza Chicken deposit;Manager Rwanda
7;2021-04-03;Generic synergies;Bhutanese reciprocal;feed Concrete;MENACE;TWO;FIVE;77244;A_TRANSFERER;Licensed strategic invoice;Haute-Normandie
8;2021-04-03;Bacon Kenyan executive;Cambodia HTTP;generate;OPPORTUNITE;THREE;ONE;91964;A_TRANSFERER;ivory Avon Savings;throughput payment SMS
9;2021-04-02;Molière Chair;Seamless static;firmware SQL;MENACE;TWO;TWO;11642;REFUSE;Wooden Gloves Alsace;Hat payment Zadkine
10;2021-04-02;syndicate;HTTP models;SCSI;MENACE;TWO;THREE;96669;ACCEPTE;c;Gloves Practical Generic
